BookingID,RequestID,Airline,FlightNumber,DepartureTime,ArrivalTime,to_Employees_EmployeeID
1,1,Delta,DL101,2023-10-01 08:00,2023-10-01 12:00,5
2,2,United,UA202,2023-10-02 09:30,2023-10-02 13:45,6
3,3,American Airlines,AA303,2023-10-03 07:45,2023-10-03 11:30,7
4,4,Southwest,SW404,2023-10-04 06:20,2023-10-04 10:10,8
5,5,JetBlue,JB505,2023-10-05 10:00,2023-10-05 14:30,9
6,6,Alaska Airlines,AS606,2023-10-06 11:15,2023-10-06 15:20,10
7,7,Delta,DL707,2023-10-07 08:10,2023-10-07 12:25,5
8,8,United,UA808,2023-10-08 09:40,2023-10-08 13:50,6
9,9,American Airlines,AA909,2023-10-09 07:55,2023-10-09 11:45,7
10,10,Southwest,SW101,2023-10-10 06:30,2023-10-10 10:20,8
11,11,JetBlue,JB111,2023-10-11 10:20,2023-10-11 14:45,9
12,12,Alaska Airlines,AS121,2023-10-12 11:25,2023-10-12 15:35,10
13,13,Delta,DL131,2023-10-13 08:05,2023-10-13 12:15,5
14,14,United,UA141,2023-10-14 09:35,2023-10-14 13:55,6
15,15,American Airlines,AA151,2023-10-15 07:50,2023-10-15 11:40,7
16,16,Southwest,SW161,2023-10-16 06:25,2023-10-16 10:15,8
17,17,JetBlue,JB171,2023-10-17 10:10,2023-10-17 14:40,9
18,18,Alaska Airlines,AS181,2023-10-18 11:30,2023-10-18 15:45,10
19,19,Delta,DL191,2023-10-19 08:15,2023-10-19 12:20,5
20,20,United,UA201,2023-10-20 09:50,2023-10-20 14:00,6
21,21,American Airlines,AA211,2023-10-21 07:35,2023-10-21 11:25,7
22,22,Southwest,SW221,2023-10-22 06:10,2023-10-22 10:00,8
23,23,JetBlue,JB231,2023-10-23 10:30,2023-10-23 14:55,9
24,24,Alaska Airlines,AS241,2023-10-24 11:20,2023-10-24 15:30,10
25,25,Delta,DL251,2023-10-25 08:25,2023-10-25 12:30,5
26,26,United,UA261,2023-10-26 09:55,2023-10-26 14:10,6
27,27,American Airlines,AA271,2023-10-27 07:40,2023-10-27 11:35,7
28,28,Southwest,SW281,2023-10-28 06:15,2023-10-28 10:05,8
29,29,JetBlue,JB291,2023-10-29 10:15,2023-10-29 14:35,9
30,30,Alaska Airlines,AS301,2023-10-30 11:10,2023-10-30 15:25,10
31,31,Delta,DL311,2023-10-31 08:30,2023-10-31 12:40,5
32,32,United,UA321,2023-11-01 09:45,2023-11-01 14:15,6
33,33,American Airlines,AA331,2023-11-02 07:30,2023-11-02 11:20,7
34,34,Southwest,SW341,2023-11-03 06:05,2023-11-03 09:55,8
35,35,JetBlue,JB351,2023-11-04 10:40,2023-11-04 15:05,9
